fips,state_name,county_name,month,haz_days
55087,Wisconsin,Outagamie,7,0.8
17115,Illinois,Macon,1,0.8
06075,California,San Francisco,9,0.8
12105,Florida,Polk,5,0.8
36067,New York,Onondaga,5,0.8
31055,Nebraska,Douglas,5,0.8
48029,Texas,Bexar,6,0.8
35013,New Mexico,Dona Ana,9,0.8
39113,Ohio,Montgomery,5,0.8
34013,New Jersey,Essex,7,0.8
26081,Michigan,Kent,5,0.8
36055,New York,Monroe,5,0.8
53053,Washington,Pierce,1,0.8
06041,California,Marin,10,0.8
06059,California,Orange,1,0.8
29189,Missouri,St Louis,9,0.8
35025,New Mexico,Lea,4,0.8
36033,New York,Franklin,5,0.8
38025,North Dakota,Dunn,8,0.8
25013,Massachusetts,Hampden,6,0.8
42071,Pennsylvania,Lancaster,5,0.8
13089,Georgia,De Kalb,5,0.8
10005,Delaware,Sussex,7,0.8
39153,Ohio,Summit,7,0.8
53073,Washington,Whatcom,4,0.8
26139,Michigan,Ottawa,5,0.8
26139,Michigan,Ottawa,7,0.8
39061,Ohio,Hamilton,8,0.8
48245,Texas,Jefferson,12,0.8
47163,Tennessee,Sullivan,6,0.8
16001,Idaho,Ada,1,0.8
48029,Texas,Bexar,10,0.8
04019,Arizona,Pima,6,0.8
08013,Colorado,Boulder,9,0.8
17115,Illinois,Macon,9,0.8
54009,West Virginia,Brooke,11,0.8
37087,North Carolina,Haywood,6,0.8
18043,Indiana,Floyd,7,0.8
21111,Kentucky,Jefferson,8,0.8
04012,Arizona,La Paz,6,0.8
06071,California,San Bernardino,1,0.8
30049,Montana,Lewis and Clark,9,0.8
18167,Indiana,Vigo,6,0.8
16005,Idaho,Bannock,9,0.8
12011,Florida,Broward,5,0.8
40143,Oklahoma,Tulsa,8,0.8
33011,New Hampshire,Hillsborough,5,0.8
12086,Florida,Miami-Dade,5,0.8
06081,California,San Mateo,10,0.8
26163,Michigan,Wayne,11,0.6
31055,Nebraska,Douglas,6,0.6
06083,California,Santa Barbara,10,0.6
39087,Ohio,Lawrence,11,0.6
22047,Louisiana,Iberville,1,0.6
04019,Arizona,Pima,7,0.6
18003,Indiana,Allen,7,0.6
42043,Pennsylvania,Dauphin,6,0.6
40109,Oklahoma,Oklahoma,4,0.6
47009,Tennessee,Blount,6,0.6
08001,Colorado,Adams,6,0.6
29095,Missouri,Jackson,10,0.6
06057,California,Nevada,4,0.6
36061,New York,New York,8,0.6
51013,Virginia,Arlington,5,0.6
06037,California,Los Angeles,2,0.6
12033,Florida,Escambia,5,0.6
49047,Utah,Uintah,8,0.6
06041,California,Marin,1,0.6
56033,Wyoming,Sheridan,9,0.6
24033,Maryland,Prince Georges,8,0.6
48245,Texas,Jefferson,3,0.6
29095,Missouri,Jackson,5,0.6
11001,District of Columbia,District of Columbia,5,0.6
21019,Kentucky,Boyd,5,0.6
34007,New Jersey,Camden,5,0.6
48167,Texas,Galveston,9,0.6
56037,Wyoming,Sweetwater,4,0.6
48201,Texas,Harris,3,0.6
17157,Illinois,Randolph,6,0.6
48027,Texas,Bell,4,0.6
42043,Pennsylvania,Dauphin,2,0.6
39049,Ohio,Franklin,5,0.6
30083,Montana,Richland,6,0.6
06077,California,San Joaquin,10,0.6
35045,New Mexico,San Juan,5,0.6
48121,Texas,Denton,10,0.6
06025,California,Imperial,2,0.6
06027,California,Inyo,4,0.6
39087,Ohio,Lawrence,5,0.6
48245,Texas,Jefferson,2,0.6
34003,New Jersey,Bergen,9,0.6
55027,Wisconsin,Dodge,5,0.6
41051,Oregon,Multnomah,9,0.6
